data,Iphone X,Iphone 8 Plus,Iphone 7,Iphone 7 Plus,Galaxy S8,Galaxy S8 Plus,Galaxy S9,Galaxy S9 Plus,Dolar
2018-11-07,5999.21,4497.65,2769.0,3653.525,2899.0,3655.18,3550.85,3899.0,3.7395
2018-11-08,5799.21,4499.1,2799.99,3821.89,2949.0,3799.0,3249.0,3704.05,3.7382
2018-11-09,5660.82,4221.13,2924.0,3945.78,2699.0,3655.18,3238.445,3599.0,3.7361
2018-11-12,5636.85,4139.1,2879.1,3945.78,3049.0,3655.18,3199.0,3799.495,3.7567
2018-11-13,5599.99,4221.13,2879.1,3945.78,2899.0,3655.18,3199.0,3799.0,3.8313
2018-11-14,5646.81,4221.13,2879.1,3945.78,2949.0,3655.18,3248.995,3749.0,3.7822
2018-11-16,5599.99,4180.115,2870.1,3899.0,2799.495,3655.18,3374.495,3799.0,3.7399
2018-11-19,5572.615,4139.1,2870.1,3879.55,2799.495,3655.18,3799.05,3851.9,3.7645
2018-11-21,5665.24,4139.1,2879.1,3899.0,2816.97,3799.0,3599.1,3724.85,3.7894
2018-11-22,5693.63,4139.1,2799.99,3509.1,2899.0,3655.18,3599.85,4024.0,3.8067
2018-11-23,5538.995,3599.1,2599.0,3419.1,2799.0,3655.18,3226.4,3562.9,3.8222
2018-11-26,5579.9,3902.53,2469.05,3599.31,2799.495,3789.5,3714.9,3580.95,3.9175
2018-11-27,5583.45,4277.07,2696.07,3998.07,2969.1,3789.5,3686.95,4008.55,3.8767
2018-11-28,5499.0,4599.0,2899.0,3998.07,2899.0,3789.5,3714.9,3789.0,3.8408
2018-11-29,5499.0,4323.06,2899.9,3998.07,2884.545,3789.5,3659.0,3789.0,3.8575
2018-11-30,5499.0,4399.9,2899.0,3998.07,2901.06,3650.43,3714.9,3799.025,3.8558
2018-12-03,5299.99,4277.07,2953.01,3665.56,2799.0,3505.18,3599.9,4074.0,3.8423
2018-12-04,5299.99,4277.07,2742.65,3609.05,2841.2,3799.0,3799.0,4139.1,3.8592
2018-12-05,5444.5,4076.35,2815.12,3774.93,2870.1,3799.0,3659.0,3999.0,3.8682
2018-12-06,5190.86,4076.35,2697.535,3799.0,2870.1,3799.0,3599.9,3878.0,3.8751
2018-12-07,5299.99,4076.35,2696.07,3791.06,2899.0,3799.0,3599.9,3878.0,3.8902
2018-12-10,5299.99,4579.025,2748.35,3533.07,2899.0,3799.0,3686.95,3789.05,3.9187
2018-12-11,5299.99,4384.475,2699.0,3774.93,2899.0,3799.0,3599.9,3499.0,3.9207
2018-12-12,5299.0,4076.35,2699.0,3626.07,2799.0,3799.0,3659.0,3419.05,3.8524
2018-12-13,5299.99,4479.475,2699.0,3566.085,2799.495,3799.0,3714.9,3499.0,3.8802
2018-12-14,5299.99,4599.0,2887.78,3533.07,2799.495,3799.0,3714.9,3574.47,3.9046
2018-12-17,5192.63,4579.025,2599.0,3486.57,2799.0,3799.0,3649.45,3599.0,3.8945
2018-12-18,5299.0,4599.0,2591.1,3486.57,2799.495,3799.0,3599.9,3586.735,3.9013
2018-12-19,5299.0,4599.0,2591.1,3799.0,2899.0,3799.0,3699.45,3799.0,3.8727
